date,close,daily_invest,shares_bought,total_shares,total_invested,market_value,profit,return_on_invested_pct
2008-01-02,1447.16,100.0,0.0691008596146936,0.0691008596146936,100.0,100.0,0.0,0.0
2008-01-03,1447.16,100.0,0.0691008596146936,0.1382017192293872,200.0,200.0,0.0,0.0
2008-01-04,1411.63,100.0,0.0708400926588412,0.2090418118882284,300.0,295.0896929157799,-4.910307084220108,-1.6367690280733704
2008-01-07,1416.18,100.0,0.0706124927622195,0.2796543046504479,400.0,396.0408331598713,-3.9591668401287166,-0.989791710032184
2008-01-08,1390.19,100.0,0.0719326135276473,0.3515869181780952,500.0,488.77261778200614,-11.227382217993863,-2.2454764435987706
2008-01-09,1409.13,100.0,0.07096577320758198,0.42255269138567714,600.0,595.4316740122993,-4.568325987700746,-0.7613876646167861
2008-01-10,1420.33,100.0,0.07040617321326734,0.49295886459894445,700.0,700.1642641558187,0.16426415581872789,0.02346630797409599
2008-01-11,1401.02,100.0,0.07137656850009279,0.5643354330990372,800.0,790.6452284804132,-9.354771519586848,-1.16934643994836
2008-01-14,1416.25,100.0,0.0706090026478376,0.6349444357468748,900.0,899.2400571265114,-0.759942873488626,-0.08443809705429572
2008-01-15,1380.95,100.0,0.07241391795503095,0.7073583537019057,1000.0,976.8265185446467,-23.17348145535334,-2.317348145535336
2008-01-16,1373.2,100.0,0.07282260413632391,0.7801809578382296,1100.0,1071.3444913034568,-28.655508696543166,-2.6050462451402856
2008-01-17,1333.25,100.0,0.07500468779298707,0.8551856456312167,1200.0,1140.1762620378197,-59.8237379621803,-4.985311496848355
2008-01-18,1325.19,100.0,0.07546087730815958,0.9306465229393762,1300.0,1233.283465734032,-66.716534265968,-5.132041097382157
2008-01-22,1310.5,100.0,0.07630675314765356,1.00695327608703,1400.0,1319.6122683120527,-80.38773168794728,-5.741980834853377
2008-01-23,1338.6,100.0,0.0747049155834454,1.0816581916704753,1500.0,1447.9076553700982,-52.092344629901845,-3.4728229753267947
2008-01-24,1352.07,100.0,0.07396066771690815,1.1556188593873835,1600.0,1562.4775912118996,-37.52240878810039,-2.3451505492562696
2008-01-25,1330.61,100.0,0.0751535010258453,1.2307723604132288,1700.0,1637.6780104894463,-62.32198951055375,-3.6659993829737503
2008-01-28,1353.96,100.0,0.07385742562557239,1.3046297860388012,1800.0,1766.4165451050953,-33.58345489490466,-1.8657474941613739
2008-01-29,1362.3,100.0,0.07340527049842178,1.378035056537223,1900.0,1877.2971575206589,-22.702842479341143,-1.1948864462811182
2008-01-30,1355.81,100.0,0.07375664731783953,1.4517917038550625,2000.0,1968.3537100037322,-31.646289996267797,-1.5823144998133865
2008-01-31,1378.55,100.0,0.0725399876682021,1.5243316915232645,2100.0,2101.3674533493963,1.3674533493963281,0.06511682616172632
2008-02-01,1395.42,100.0,0.07166301185306216,1.5959947033763267,2200.0,2227.0829289853937,27.082928985393664,1.231042226608814
2008-02-04,1380.82,100.0,0.07242073550498979,1.6684154388813164,2300.0,2303.781406316099,3.781406316099037,0.16440897026517298
2008-02-05,1336.64,100.0,0.07481446013885563,1.743229899020172,2400.0,2330.0708122263227,-69.92918777367731,-2.9137161572365566
2008-02-06,1326.45,100.0,0.07538919672810886,1.8186190957482808,2500.0,2412.307299555307,-87.69270044469295,-3.507708017787714
2008-02-07,1336.91,100.0,0.07479935074163556,1.8934184464899164,2600.0,2531.3300552968344,-68.66994470316558,-2.641151719352519
2008-02-08,1331.29,100.0,0.07511511391207025,1.9685335604019867,2700.0,2620.6890436275607,-79.31095637243925,-2.9374428286088605
2008-02-11,1339.13,100.0,0.07467534892056782,2.0432089093225545,2800.0,2736.122346741113,-63.87765325888722,-2.2813447592459735
2008-02-12,1348.86,100.0,0.07413667838026186,2.1173455877028164,2900.0,2856.0027694288206,-43.99723057117944,-1.5171458817648031
2008-02-13,1367.21,100.0,0.07314165344021767,2.190487241143034,3000.0,2994.8560609631677,-5.1439390368323075,-0.1714646345610804
2008-02-14,1348.86,100.0,0.07413667838026186,2.264623919523296,3100.0,3054.660620088193,-45.3393799118071,-1.4625606423163573
2008-02-15,1349.99,100.0,0.07407462277498351,2.3386985422982796,3200.0,3157.2196451172545,-42.78035488274554,-1.3368860900857982
2008-02-19,1348.78,100.0,0.07414107563872536,2.412839617937005,3300.0,3254.3898198810734,-45.610180118926564,-1.3821266702705004
2008-02-20,1360.03,100.0,0.07352778982816556,2.4863674077651705,3400.0,3381.534265582865,-18.46573441713508,-0.5431098357980946
2008-02-21,1342.53,100.0,0.07448623122015896,2.5608536389853294,3500.0,3438.0228359469743,-61.97716405302572,-1.7707761158007318
2008-02-22,1353.11,100.0,0.07390382156661321,2.6347574605519424,3600.0,3565.1166674474384,-34.88333255256157,-0.9689814597933721
2008-02-25,1371.8,100.0,0.07289692374981777,2.70765438430176,3700.0,3714.360284385154,14.360284385154046,0.3881157941933555
2008-02-26,1381.29,100.0,0.07239609350679438,2.780050477808554,3800.0,3840.055924492178,40.05592449217784,1.0541032761099522
2008-02-27,1380.02,100.0,0.07246271793162418,2.8525131957401784,3900.0,3936.525260385361,36.52526038536098,0.9365451380861867
2008-02-28,1367.68,100.0,0.07311651848385586,2.9256297142240344,4000.0,4001.3252475499276,1.3252475499275533,0.03313118874819221
2008-02-29,1330.63,100.0,0.07515237143308057,3.000782085657115,4100.0,3992.930666637927,-107.06933336207294,-2.6114471551725082
2008-03-03,1331.34,100.0,0.0751122928778524,3.0758943785349673,4200.0,4095.0612219187433,-104.93877808125671,-2.498542335268017
2008-03-04,1326.75,100.0,0.07537214999057848,3.1512665285255457,4300.0,4180.942866721268,-119.05713327873218,-2.7687705413658614
2008-03-05,1333.7,100.0,0.07497938067031566,3.2262459091958613,4400.0,4302.84416909452,-97.15583090547989,-2.208087066033637
2008-03-06,1304.34,100.0,0.07666712666942668,3.302913035865288,4500.0,4308.121589200529,-191.87841079947066,-4.263964684432686
2008-03-07,1293.37,100.0,0.07731739564084524,3.380230431506133,4600.0,4371.888633197087,-228.11136680291293,-4.958942756585061
2008-03-10,1273.37,100.0,0.07853177002756466,3.458762201533698,4700.0,4404.284024566964,-295.71597543303596,-6.291829264532678
2008-03-11,1320.65,100.0,0.07572028925150494,3.534482490785203,4800.0,4667.814301455478,-132.18569854452198,-2.7538687196775435
2008-03-12,1308.77,100.0,0.07640761936780335,3.610890110153006,4900.0,4725.82464946495,-174.1753505350498,-3.554598990511215
