date,close,monthly_invest,multiplier,active,signal_active_for_next_month,signal_multiplier_for_next_month,drawdown_from_252d_high_pct,shares_bought,total_shares,total_invested,market_value,profit,return_on_invested_pct
2012-05-01,59.146,100.0,1,True,True,1,-2.021005201603554,1.6907314104081426,1.6907314104081426,100.0,100.0,0.0,0.0
2012-05-02,59.314,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,100.28404287694856,0.28404287694856123,0.2840428769485648
2012-05-03,58.686,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,99.22226355121225,-0.7777364487877492,-0.777736448787747
2012-05-04,57.226,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,96.75379569201637,-3.246204307983632,-3.2462043079836356
2012-05-07,57.279,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,96.843404456768,-3.156595543232001,-3.156595543231999
2012-05-08,57.067,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,96.48496939776147,-3.515030602238525,-3.5150306022385225
2012-05-09,56.891,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,96.18740066952964,-3.8125993304703627,-3.8125993304703676
2012-05-10,56.775,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,95.99127582592229,-4.008724174077713,-4.008724174077716
2012-05-11,56.766,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,95.97605924322862,-4.023940756771381,-4.023940756771383
2012-05-14,56.236,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,95.0799715957123,-4.920028404287706,-4.920028404287702
2012-05-15,56.05,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,94.76549555337638,-5.2345044466236175,-5.234504446623623
2012-05-16,55.67,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,94.1230176174213,-5.876982382578703,-5.876982382578699
2012-05-17,54.493,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,92.13302674737092,-7.86697325262908,-7.866973252629084
2012-05-18,53.786,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,90.93767964021235,-9.062320359787648,-9.062320359787645
2012-05-21,55.289,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,93.47884895005579,-6.5211510499442085,-6.521151049944207
2012-05-22,55.227,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,93.37402360261048,-6.625976397389522,-6.625976397389522
2012-05-23,55.333,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,93.55324113211375,-6.4467588678862455,-6.446758867886249
2012-05-24,54.971,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,92.941196361546,-7.058803638453995,-7.058803638453992
2012-05-25,54.9,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,92.82115443140702,-7.178845568592976,-7.178845568592973
2012-05-29,55.599,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,94.00297568728232,-5.997024312717684,-5.997024312717681
2012-05-30,55.13,0.0,1,True,True,1,,0.0,1.6907314104081426,100.0,93.2100226558009,-6.789977344199102,-6.789977344199105
