code,name,market,currency,start,end,trading_days,daily_amount,total_invested,final_value,profit,return_on_invested_pct,xirr_pct,max_account_drawdown_pct,max_value_to_cost_drawdown_pct,first_close,last_close,price_return_pct,investment_count,paused_months,max_multiplier
us.INX,标普500,美国,USD,2008-01-02,2026-06-04,4635,100.0,463500.0,1710623.9474372016,1247123.9474372016,269.0666553262571,12.784603139606327,-33.6390952312977,-41.91960752583359,1447.16,7584.31,424.08234058431685,,,
us.NDX,纳斯达克100,美国,USD,2008-01-02,2026-06-04,4625,100.0,462500.0,3478099.2907527,3015599.2907527,652.021468270854,19.146398271732316,-34.535588118574665,-45.57535863189295,2049.71,30407.81,1383.5176683530842,,,
sh000922,中证红利,中国A股,CNY,2008-01-02,2026-06-05,4476,100.0,447600.0,706342.1735960129,258742.17359601287,57.80656246559717,4.730533734266553,-43.69111151440427,-49.732501927842506,5163.14,5690.32,10.210453328788294,,,
usQQQ.OQ,QQQ趋势定投,美国,USD,2012-05-01,2026-06-04,146,100.0,15400.0,79855.38866677004,64455.38866677004,418.5414848491561,20.677227139661586,-34.568494955051364,-36.670815102833345,59.146,740.61,1152.1725898623745,146,24,3
